Trimestre,Ano,ValorDespesas
2025Q3,2025,822366.99
2025Q3,2025,292715635.6
2025Q3,2025,230068808.69
2025Q3,2025,231556201.57
2025Q3,2025,228901628.75
2025Q3,2025,226157475.31
2025Q3,2025,226157475.31
2025Q3,2025,696066.84
2025Q3,2025,645545.18
2025Q3,2025,645545.18
2025Q3,2025,50521.66
2025Q3,2025,50521.66
2025Q3,2025,50521.66
2025Q3,2025,50521.66
2025Q3,2025,62685.43
2025Q3,2025,2541863.83
2025Q3,2025,2541863.83
2025Q3,2025,2541863.83
2025Q3,2025,125825.19
2025Q3,2025,125825.19
2025Q3,2025,125825.19
2025Q3,2025,125825.19
2025Q3,2025,125825.19
2025Q3,2025,125825.19
2025Q3,2025,6756570.77
2025Q3,2025,7065887.05
2025Q3,2025,1960643.59
2025Q3,2025,10641972.39
2025Q3,2025,1411037.14
2025Q3,2025,340404.27
2025Q3,2025,12104642.07
2025Q3,2025,12104642.07
2025Q3,2025,12104642.07
2025Q3,2025,8214405.09
2025Q3,2025,323968.64
2025Q3,2025,12650.5
2025Q3,2025,311318.14
2025Q3,2025,4185529.26
2025Q3,2025,3704907.19
2025Q3,2025,3576015.82
2025Q3,2025,128891.37
2025Q3,2025,3890236.98
2025Q3,2025,3890236.98
2025Q3,2025,557852.64
2025Q3,2025,3623.19
2025Q3,2025,3623.19
2025Q3,2025,3623.19
2025Q3,2025,3623.19
2025Q3,2025,34105.08
2025Q3,2025,34105.08
2025Q3,2025,34105.08
2025Q3,2025,520051.0
2025Q3,2025,520051.0
2025Q3,2025,73.37
2025Q3,2025,73.37
2025Q3,2025,73.37
2025Q3,2025,73.37
2025Q3,2025,73.37
2025Q3,2025,311505.01
2025Q3,2025,311505.01
2025Q3,2025,311505.01
2025Q3,2025,311505.01
2025Q3,2025,311505.01
2025Q3,2025,311505.01
2025Q3,2025,1174936.63
2025Q3,2025,3088.81
2025Q3,2025,3088.81
2025Q3,2025,3088.81
2025Q3,2025,1171847.82
2025Q3,2025,1171847.82
2025Q3,2025,1461273.13
2025Q3,2025,1461273.13
2025Q3,2025,1461273.13
2025Q3,2025,1461273.13
2025Q3,2025,1461273.13
2025Q3,2025,1461273.13
2025Q3,2025,460604.2
2025Q3,2025,1335975.75
2025Q3,2025,1335975.75
2025Q3,2025,1335975.75
2025Q3,2025,1335975.75
2025Q3,2025,1335975.75
2025Q3,2025,970808.87
2025Q3,2025,365166.88
2025Q3,2025,427008.76
2025Q3,2025,646756.91
2025Q3,2025,646756.91
2025Q3,2025,347406.41
2025Q3,2025,14855.1
2025Q3,2025,284495.4
2025Q3,2025,14343821.4
2025Q3,2025,727320.77
2025Q3,2025,571566.02
2025Q3,2025,571566.02
2025Q3,2025,571566.02
2025Q3,2025,571566.02
2025Q3,2025,571566.02
2025Q3,2025,148096.36
2025Q3,2025,148096.36
2025Q3,2025,13616500.63
2025Q3,2025,13616252.06
2025Q3,2025,13616252.06
2025Q3,2025,13616252.06
2025Q3,2025,13873775.85
2025Q3,2025,13873775.85
2025Q3,2025,248.57
2025Q3,2025,248.57
2025Q3,2025,248.57
2025Q3,2025,248.57
2025Q3,2025,248.57
2025Q3,2025,492159.11
2025Q3,2025,2833.49
2025Q3,2025,2833.49
2025Q3,2025,2833.49
2025Q3,2025,2833.49
2025Q3,2025,2833.49
2025Q3,2025,15253.47
2025Q3,2025,15253.47
2025Q3,2025,15253.47
2025Q3,2025,15253.47
2025Q3,2025,15253.47
2025Q3,2025,474072.15
2025Q3,2025,27852.16
2025Q3,2025,27852.16
2025Q3,2025,27852.16
2025Q3,2025,0.38
2025Q3,2025,27851.78
2025Q3,2025,205.86
2025Q3,2025,205.86
2025Q3,2025,205.86
2025Q3,2025,205.86
2025Q3,2025,205.86
2025Q3,2025,88351.7
2025Q3,2025,88351.7
2025Q3,2025,88351.7
2025Q3,2025,88351.7
2025Q3,2025,357662.43
2025Q3,2025,357662.43
2025Q3,2025,357662.43
2025Q3,2025,294545.7
2025Q3,2025,294545.7
2025Q3,2025,63116.73
2025Q3,2025,63116.73
2025Q3,2025,11494457.07
2025Q3,2025,7012169.59
2025Q3,2025,901776.61
2025Q3,2025,901776.61
2025Q3,2025,901776.61
2025Q3,2025,901776.61
2025Q3,2025,72445.62
2025Q3,2025,3004299.14
2025Q3,2025,3004299.14
2025Q3,2025,3004299.14
2025Q3,2025,3004299.14
2025Q3,2025,16240.75
2025Q3,2025,1238772.39
2025Q3,2025,1238772.39
2025Q3,2025,1238772.39
2025Q3,2025,1238772.39
2025Q3,2025,66296.77
2025Q3,2025,263064.47
2025Q3,2025,263064.47
2025Q3,2025,263064.47
2025Q3,2025,263064.47
2025Q3,2025,263064.47
2025Q3,2025,45904.64
2025Q3,2025,45904.64
2025Q3,2025,45904.64
2025Q3,2025,9129453.73
2025Q3,2025,216538.3
2025Q3,2025,216538.3
2025Q3,2025,216538.3
2025Q3,2025,216538.3
2025Q3,2025,167957.54
2025Q3,2025,167957.54
2025Q3,2025,167957.54
2025Q3,2025,167957.54
2025Q3,2025,167957.54
2025Q3,2025,28843678.31
2025Q3,2025,28843678.31
2025Q3,2025,21390265.35
2025Q3,2025,21390265.35
2025Q3,2025,17110475.6
2025Q3,2025,3736451.64
2025Q3,2025,543338.11
2025Q3,2025,4539664.8
2025Q3,2025,4539664.8
2025Q3,2025,3907074.67
2025Q3,2025,149619.73
2025Q3,2025,61599504.67
2025Q3,2025,1506025.48
2025Q3,2025,1506025.48
2025Q3,2025,1506025.48
2025Q3,2025,1506025.48
2025Q3,2025,219154.3
2025Q3,2025,41286518.61
2025Q3,2025,41286518.61
2025Q3,2025,41286518.61
2025Q3,2025,41286518.61
2025Q3,2025,7340121.14
2025Q3,2025,260882.05
2025Q3,2025,147265.5
2025Q3,2025,147265.5
2025Q3,2025,147265.5
2025Q3,2025,147265.5
2025Q3,2025,2640.77
2025Q3,2025,12182134.03
2025Q3,2025,12182134.03
2025Q3,2025,12182134.03
2025Q3,2025,12182134.03
2025Q3,2025,329841.79
2025Q3,2025,4472840.2
2025Q3,2025,4472840.2
2025Q3,2025,4472840.2
2025Q3,2025,4472840.2
2025Q3,2025,4472840.2
2025Q3,2025,29093.48
2025Q3,2025,29093.48
2025Q3,2025,29093.48
2025Q3,2025,29093.48
2025Q3,2025,521233.94
2025Q3,2025,521233.94
2025Q3,2025,521233.94
2025Q3,2025,521233.94
2025Q3,2025,1454393.43
2025Q3,2025,1454393.43
2025Q3,2025,1454393.43
2025Q3,2025,1454393.43
2025Q3,2025,1454393.43
2025Q3,2025,17801934.86
